date,indicator_name,indicator_value,region,frequency,caliber
2017-04-01,房地产开发投资_累计值,83974.61,全国,monthly,cum_level
2017-04-01,社会消费品零售总额_累计值,269601.0,全国,monthly,cum_level
2017-04-01,工业增加值_当月同比_mom_yoy,6.1,全国,monthly,mom_yoy
2017-05-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.3,全国,monthly,ytd_yoy
2017-05-01,房地产开发投资_累计值,93387.08,全国,monthly,cum_level
2017-05-01,社会消费品零售总额_累计值,300559.5,全国,monthly,cum_level
2017-05-01,工业增加值_当月同比_mom_yoy,6.2,全国,monthly,mom_yoy
2017-06-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.1,全国,monthly,ytd_yoy
2017-06-01,房地产开发投资_累计值,102581.0,全国,monthly,cum_level
2017-06-01,社会消费品零售总额_累计值,332316.0,全国,monthly,cum_level
2017-06-01,工业增加值_当月同比_mom_yoy,6.0,全国,monthly,mom_yoy
2017-08-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.9,全国,monthly,ytd_yoy
2017-08-01,房地产开发投资_累计值,9854.34,全国,monthly,cum_level
2017-08-01,社会消费品零售总额_累计值,57959.7,全国,monthly,cum_level
2017-09-01,固定资产投资（不含农户）_累计同比_ytd_yoy,9.2,全国,monthly,ytd_yoy
2017-09-01,房地产开发投资_累计值,19291.92,全国,monthly,cum_level
2017-09-01,社会消费品零售总额_累计值,85823.4,全国,monthly,cum_level
2017-09-01,工业增加值_当月同比_mom_yoy,7.6,全国,monthly,mom_yoy
2017-10-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.9,全国,monthly,ytd_yoy
2017-10-01,房地产开发投资_累计值,27731.58,全国,monthly,cum_level
2017-10-01,社会消费品零售总额_累计值,113101.9,全国,monthly,cum_level
2017-10-01,工业增加值_当月同比_mom_yoy,6.5,全国,monthly,mom_yoy
2017-11-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.6,全国,monthly,ytd_yoy
2017-11-01,房地产开发投资_累计值,37594.68,全国,monthly,cum_level
2017-11-01,社会消费品零售总额_累计值,142561.1,全国,monthly,cum_level
2017-11-01,工业增加值_当月同比_mom_yoy,6.5,全国,monthly,mom_yoy
2017-12-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.6,全国,monthly,ytd_yoy
2017-12-01,房地产开发投资_累计值,50610.22,全国,monthly,cum_level
2017-12-01,社会消费品零售总额_累计值,172368.7,全国,monthly,cum_level
2017-12-01,工业增加值_当月同比_mom_yoy,7.6,全国,monthly,mom_yoy
2018-02-01,固定资产投资（不含农户）_累计同比_ytd_yoy,8.3,全国,monthly,ytd_yoy
2018-02-01,房地产开发投资_累计值,59761.08,全国,monthly,cum_level
2018-02-01,社会消费品零售总额_累计值,201978.5,全国,monthly,cum_level
